index,date,boxcell,momsp,mompid,dadsp,dadpid,fullcross,progenyid,flowers,anthers,line,viable,inviable,tot,notes
45,2021-03-09,2,apokremnos,90462-34,attenuata,1394-7,apok 90462-34 x atten,13,5,20,973,39,161,200,
46,2021-04-17,1,apokremnos,90462-34,attenuata,1394-7,apok 90462-34 x atten,11,5,20,990,63,137,200,
47,2021-03-09,1,attenuata,1394-7,apokremnos,90462-26,atten x apok 90462-26,13,5,20,972,0,200,200,
48,2019-11-19,1,attenuata,1394-7,globosa ,906 21-4,atten x glob 906 21-4,18,5,20,58,71,129,200,
49,2019-11-30,6,attenuata,1394-7,globosa ,906 21-4,atten x glob 906 21-4,10,6,20,81,47,153,200,
50,2019-12-04,3,attenuata,1394-7,globosa ,906 21-4,atten x glob 906 21-4,20,5,20,86,56,144,200,some too young?
51,2019-12-06,2,attenuata,1394-7,globosa ,906 21-4 ,atten x glob 906 21-4,19,4,20,96,88,112,200,
52,2019-12-06,3,attenuata,1394-7,globosa ,906 21-4 ,atten x glob 906 21-4,11,8,,97,,,, no pollen; anthers tiny JP total was 0
53,2019-12-12,3,attenuata,1394-7,globosa ,906 21-4,atten x glob 906 21-4,11,5,20,112,14,186,200,anthers tiny 
54,2019-12-17,5,attenuata,1394-7,globosa ,906 21-4,atten x glob 906 21-4,9,4,20,117,16,184,200,
55,2020-02-04,7,attenuata,1394-7,globosa ,906 42-4,atten x glob 906 42-4,11,4,20,232,45,155,200,
56,2020-02-11,14,attenuata,1394-7,globosa ,906 42-4,atten x glob 906 42-4,8,4,20,299,42,158,200,
57,2020-02-24,3,attenuata,1394-7,globosa,906 42-4,atten x glob 906 42-4,9,7,20,372,70,130,200,
58,2020-03-17,3,attenuata,1394-7,globosa,906 42-4,atten x glob 906 42-4,2,5,20,548,81,119,200,
59,2020-03-24,3,attenuata,1394-7,globosa,906 42-4,atten x glob 906 42-4,5,4,20,589,96,104,200,
60,2020-02-04,2,attenuata,1394-7,kaalae ,881-2 S8,atten x kaal 881-2 S8,18,3,20,227,58,142,200,
61,2020-02-11,13,attenuata,1394-7,kaalae ,881-2 S8,atten x kaal 881-2 S8,4,3,20,298,54,146,200,
62,2020-02-16,5,attenuata,1394-7,kaalae ,881- 258,atten x kaal 881-2 S8,2,3,20,327,16,184,200,
63,2020-02-20,2,attenuata,1394-7,kaalae ,881-2 S8,atten x kaal 881-2 S8,10,3,20,345,107,93,200,
64,2020-02-12,6,attenuata,1394-7,kaalae,881-2 S8 ,atten x kaal 881-2 S8 ,14,4,20,306,76,124,200,
65,2020-03-26,5,attenuata,1394-7,kauaiensis,12074-7,atten x kaua 12074-7,7,3,25,612,54,146,200,
66,2020-06-01,3,attenuata,1394-7,kauaiensis,12074-7,atten x kaua 12074-7,5,8,20,860,95,105,200,
67,2020-06-04,1,attenuata,1394-7,kauaiensis,12074-7,atten x kaua 12074-7,1,4,20,864,40,160,200,
68,2020-06-16,1,attenuata,1394-7,kauaiensis,12074-7,atten x kaua 12074-7,6,3,20,873,70,130,200,
69,2020-08-06,1,attenuata,1397-7,kauaiensis,12074-7,atten x kaua 12074-7,8,3,20,949,63,137,200,
70,2021-01-18,1,attenuata,1394-7,kauaiensis,12074-7,atten x kaua 12074-7,11,5,20,979,67,133,200,
71,2020-02-22,2,attenuata,1394-7,obovata,868-6,atten x obov 868-6,6,5,20,358,105,95,200,
72,2020-02-24,1,attenuata,1394-7,obovata,868-6,atten x obov 868-6,2,5,20,370,105,95,200,
73,2020-03-14,18,attenuata,1394-7,obovata,868-6,atten x obov 868-6,4,5,20,525,89,111,200,
74,2020-03-15,2,attenuata,1399-7,obovata,868-6,atten x obov 868-6,1,5,20,528,119,81,200,
75,2020-03-20,2,attenuata,1394-7,obovata,868-6,atten x obov 868-6,14,5,20,570,75,125,200,
76,2020-02-12,2,attenuata,1394-7,obovata ,897-10,atten x obov 897-10,12,5,20,302,179,21,200,
77,2020-02-20,1,attenuata,1394-7,obovata,897-10,atten x obov 897-10,8,4,20,357,99,101,200,
78,2020-03-09,1,attenuata,1394-7,obovata,897-10,atten x obov 897-10,13,6,20,473,174,26,200,
79,2020-03-09,2,attenuata,1394-7,obovata,897-10,atten x obov 897-10,17,8,20,474,135,65,200,
80,2020-03-01,6,attenuata,1394-7,obovata ,897-10 ,atten x obov 897-10 ,2,3,20,420,179,21,200,
81,2020-05-04,2,attenuata,1394-7,obovata,897-13 ,atten x obov 897-13,3,5,20,786,66,134,200,
82,2020-06-01,1,attenuata,1394-7,obovata,897-13,atten x obov 897-13,4,6,20,858,103,97,200,
83,2020-06-09,2,attenuata,1394-7,obovata,897-13,atten x obov 897-13,5,6,20,867,72,128,200,
84,2020-02-24,2,attenuata,1394-7,obovata,897-8,atten x obov 897-8,6,5,20,371,36,164,200,
85,2020-03-14,19,attenuata,1394-7,obovata,897-8,atten x obov 897-8,9,6,20,526,101,99,200,
86,2020-03-19,8,attenuata,1394-7,obovata,897-8,atten x obov 897-8,7,5,20,567,93,107,200,
87,2020-03-23,1,attenuata,1394-7,obovata,897-8,atten x obov 897-8,3,8,20,576,76,124,200,
88,2020-03-23,2,attenuata,1394-7,obovata,897-8,atten x obov 897-8,4,6,20,577,78,122,200,
89,2020-02-05,2,attenuata,1394-7,verticillata,880-A,atten x vert 880-A,11,4,20,239,131,69,200,
90,2020-02-05,10,attenuata,1394-7,verticillata,880A,atten x vert 880-A,3,2,20,247,178,22,200,
91,2020-03-13,1,attenuata,1394-7,verticillata,880A,atten x vert 880-A,1,2,20,508,176,24,200,
92,2020-03-14,17,attenuata,1394-7,verticillata,880A,atten x vert 880-A,8,2,20,524,119,81,200,
93,2020-03-16,2,attenuata,1394-7,verticillata,880A,atten x vert 880-A,14,2,20,539,132,68,200,
94,2020-01-28,3,attenuata,1394-7,verticillata,NTBG-25,atten x vert NTBG-25,6,4,20,182,178,22,200,
95,2020-02-02,1,attenuata,1394-7,verticillata,NTBG-25,atten x vert NTBG-25,16,4,20,213,78,122,200,
96,2020-02-04,3,attenuata,1394-7,verticillata,NTBG-25,atten x vert NTBG-25,11,3,20,228,162,38,200,
97,2020-02-11,4,attenuata,1394-7,verticillata,NTBG-25,atten x vert NTBG-25,13,5,20,289,172,28,200,
98,2020-02-13,4,attenuata,1394-7,verticillata,NTBG-25,atten x vert NTBG-25,4,3,20,319,141,59,200,
99,2020-02-02,8,attenuata,1394-7,viscosa ,4-12 #7,atten x visc 4-12 #7,5,2,20,220,99,101,200,
100,2020-02-09,6,attenuata,1394-7,viscosa ,4-12 #7,atten x visc 4-12 #7,7,3,20,270,83,117,200,
101,2020-02-09,7,attenuata,1394-7,viscosa ,4-12 #7,atten x visc 4-12 #7,9,3,20,271,131,69,200,
102,2020-02-12,7,attenuata,1394-7,viscosa,4-12 #7,atten x visc 4-12 #7,1,3,20,307,79,121,200,
103,2020-02-16,6,attenuata,1394-7,viscosa,4-12 #7,atten x visc 4-12 #7,6,4,20,328,116,84,200,
104,2020-02-01,12,attenuata,1394-7,viscosa ,5031 C1 #1,atten x visc 5031 C1 #1,8,3,20,212,86,114,200,
105,2020-02-26,13,attenuata,1394-7,viscosa ,5031 C1 #1,atten x visc 5031 C1 #1,12,5,20,401,83,117,200,
106,2020-03-05,13,attenuata,1394-7,viscosa,5031 C1 #1,atten x visc 5031 C1 #1,5,7,20,457,154,46,200,
107,2020-03-05,14,attenuata,1394-7,viscosa,5031 C1 #1,atten x visc 5031 C1 #1,6,6,20,458,85,115,200,
108,2020-03-10,3,attenuata,1394-7,viscosa,5031 C1 #1,atten x visc 5031 C1 #1,4,5,20,492,126,74,200,
109,2020-01-11,6,globosa ,844 F1-15,attenuata,1394-7,glob 844 F1-15 x atten,16,3,20,150,56,144,200,
110,2020-01-11,7,globosa ,844 F1-15,attenuata,1394-7,glob 844 F1-15 x atten,7,6,20,151,69,131,200,
111,2020-02-02,9,globosa ,844 F1-15,attenuata,1394-7,glob 844 F1-15 x atten,14,4,20,221,57,143,200,
112,2020-05-12,3,globosa,844 F1-15,attenuata,1394-7,glob 844 F1-15 x atten,4,6,20,807,9,191,200,
113,2020-10-30,1,globosa,844 F1-15,attenuata,1394-7,glob 844 F1-15 x atten,17,5,20,964,67,133,200,
114,2019-11-26,1,globosa ,849 F2-22,attenuata,1394-7,glob 844 F2-22 x atten,15,5,20,69,31,169,200,
115,2019-11-30,7,globosa ,849 F2-22,attenuata,1394-7,glob 844 F2-22 x atten,1,6,20,82,47,153,200,
116,2019-12-06,1,globosa ,844 F2-22 ,attenuata,1394-7,glob 844 F2-22 x atten ,7,4,20,95,33,167,200,
117,2019-12-08,2,globosa ,844 F2-22 ,attenuata,1394-7,glob 844 F2-22 x atten ,19,7,20,101,32,168,200,
118,2019-12-08,3,globosa ,844 F2-22 ,attenuata,1394-7,glob 844 F2-22 x atten ,20,6,20,102,13,87,100,
119,2020-01-04,6,globosa ,844 F2-4F,perlmanii,12917,glob 844 F2-4 x perl ,4,6,20,137,16,184,200,F1
120,2020-01-11,8,globosa ,844 F2-4F,perlmanii,1935-5,glob 844 F2-4 x perl ,5,5,20,152,105,95,200,
121,2020-01-15,1,globosa ,844 F2-4F,perlmanii,12917,glob 844 F2-4 x perl ,6,7,20,158,136,64,200,
122,2020-01-23,4,globosa ,844 F2-4F,perlmanii,12917,glob 844 F2-4 x perl ,1,3,20,170,143,157,300,
123,2020-01-26,3,globosa ,844 F2-4F,perlmanii,12917,glob 844 F2-4 x perl ,9,5,20,173,71,129,200,
124,2020-01-12,2,globosa ,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten,6,5,20,154,195,5,200,
125,2020-03-28,12,globosa,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten,2,7,20,637,54,146,200,
126,2020-04-07,2,globosa,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten,10,4,20,686,109,81,190,
127,2020-04-14,11,globosa,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten,11,5,20,720,60,140,200,
128,2020-02-04,10,globosa ,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten ,1,5,20,235,199,1,200,contaminant
129,2020-02-07,7,globosa ,844 F2-7,attenuata,1394-7,glob 844 F2-7 x atten ,7,3,20,259,165,35,200,
130,2020-03-18,4,globosa,844 F3-18F,jacobii,14807 B2,glob 844 F3-18F x jac 14807 B2,18,3,20,554,55,145,200,
131,2020-03-24,7,globosa,844 F3-18F,jacobii,14807 B2,glob 844 F3-18F x jac 14807 B2,14,3,20,593,80,120,200,
132,2020-04-06,4,globosa,844 F3-18F,jacobii,14807 B2,glob 844 F3-18F x jac 14807 B2,6,3,20,679,104,96,200,
133,2020-04-07,4,globosa,844 F3-18F,jacobii,14807 B2,glob 844 F3-18F x jac 14807 B2,4,3,20,688,79,121,200,
134,2020-04-17,8,globosa,844 F3-18F,jacobii,14807 B2,glob 844 F3-18F x jac 14807 B2,15,3,20,737,89,111,200,
135,2020-02-24,6,globosa ,844 F8-1,perlmanii,12917,glob 844 F8-1 x perl ,11,5,,375,116,84,200,JP no anthers
136,2020-02-28,8,globosa ,844 F8-1,perlmanii,12917,glob 844 F8-1 x perl ,9,4,20,409,103,97,200,
137,2020-02-28,11,globosa ,844 F8-1,perlmanii,12917,glob 844 F8-1 x perl ,6,7,20,412,99,101,200,
138,2020-03-01,15,globosa ,844 F8-1,perlmanii,12917,glob 844 F8-1 x perl ,7,,20,429,74,126,200,JP missing flowers
139,2020-09-03,1,globosa,844 F8-1,perlman ,12917,glob 844 F8-1 x perl ,20,5,20,952,15,185,200,
140,2020-03-06,5,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,6,6,20,464,110,90,200,
141,2020-03-09,10,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,8,4,20,482,,,,no pollen
142,2020-03-16,4,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,5,5,20,541,101,99,200,
143,2020-03-20,7,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,10,3,20,575,96,104,200,
144,2020-03-23,9,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,4,4,20,584,35,165,200,
145,2020-08-23,1,globosa,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten,7,5,20,950,101,99,200,
146,2020-01-15,3,globosa ,844 F8-3,attenuata,1394-7,glob 844 F8-3 x atten ,7,5,20,160,101,99,200,
147,2020-02-09,8,globosa ,906 1045A,kauaiensis ,24525-1 x 3 #1,glob 906 1045A x kaua 24525-11 x 3 #1,9,6,20,272,145,55,200,
148,2020-03-03,9,globosa,906 1045A,kauaiensis,24525-11 x 3 #1,glob 906 1045A x kaua 24525-11 x 3 #1,15,6,20,438,146,54,200,
149,2020-03-03,10,globosa,906 1045A,kauaiensis,24525-11 x 3 #1,glob 906 1045A x kaua 24525-11 x 3 #1,10,7,20,439,146,54,200,
150,2020-03-03,11,globosa,906 1045A,kauaiensis,24525-11 x 3 #1,glob 906 1045A x kaua 24525-11 x 3 #1,6,4,20,440,140,60,200,
151,2020-03-06,2,globosa,906 1045A,kauaiensis,24525-11 x 3 #1,glob 906 1045A x kaua 24525-11 x 3 #1,11,5,20,461,144,56,200,
152,2020-02-02,2,globosa ,906 19-4,obovata ,897 no pot !D,glob 906 19-4 x obov 897 no pot ID,1,7,20,214,16,184,200,
153,2020-02-02,3,globosa ,906 19-4,obovata ,897 no pot ID,glob 906 19-4 x obov 897 no pot ID,4,4,20,215,2,11,13,anthers abort?
154,2020-02-20,5,globosa ,906 19-4 ,obovata ,897 no pot ID,glob 906 19-4 x obov 897 no pot ID,17,6,20,348,10,190,200,
155,2020-03-03,12,globosa,906 19-4,obovata,897 no pot ID,glob 906 19-4 x obov 897 no pot ID,7,9,20,441,18,182,200,
156,2020-01-26,2,globosa ,906 19-4,obovata ,897 no pot 1D,glob 906 19-4 x obov 897 no pot ID ,10,5,20,172,26,174,200,
157,2020-02-18,5,globosa ,906 19-4 ,obovata ,897 no pot ID,glob 906 19-4 x obov 897 no pot ID ,2,4,20,339,8,4,12,
158,2020-03-06,9,globosa,906 19-4,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,18,6,20,468,6,194,200,
159,2020-03-06,10,globosa,906 19-4,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,15,6,20,469,26,174,200,
160,2020-03-06,11,globosa,906 19-4,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,16,7,20,470,33,167,200,
161,2020-03-06,12,globosa,906 19-4,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,11,8,20,471,3,197,200,
162,2020-03-23,10,globosa,906 19-4,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,17,4,20,585,7,103,110,
163,2020-03-23,11,globosa,906 19-4 ,viscosa,C1 #1,glob 906 19-4 x visc C1 #1,13,6,20,586,2,198,200,
164,2020-04-05,4,jacobii,14807 B2,kaalae,169-16 ,jac 14807 B2 x kaal 169-16,12,3,20,670,106,94,200,
165,2020-04-30,13,jacobii,14807,kaalae,169-16,jac 14807 B2 x kaal 169-16,19,3,20,783,78,122,200,
166,2020-04-30,14,jacobii,14807,kaalae,169-16,jac 14807 B2 x kaal 169-16,10,4,20,784,58,142,200,
167,2020-05-23,3,jacobii,14807 B2,kaalae,169-16,jac 14807 B2 x kaal 169-16,14,7,20,845,55,145,200,
168,2020-06-09,6,jacobii,14807 B2,kaalae,169-16,jac 14807 B2 x kaal 169-16,18,7,20,871,90,110,200,
169,2020-05-23,1,jacobii,14807 B2,kauaiensis,24525-1 x 6a #6,jac 14807 B2 x kaua 24525-1 x 6a #6,1,4,20,843,100,100,200,
170,2020-05-23,2,jacobii,14807 B2,kauaiensis,24525-1 x 6a #6,jac 14807 B2 x kaua 24525-1 x 6a #6,12,5,20,844,1,199,200,
171,2020-06-01,4,jacobii,14807 B2,kauaiensis,24525-1 x 6a #6,jac 14807 B2 x kaua 24525-1 x 6a #6,11,3,20,861,84,116,200,
172,2020-04-07,1,jacobii,14807 B2,kauaiensis,24525-11 x 6 #4,jac 14807 B2 x kaua 24525-11 x6 #4,5,4,20,685,127,73,200,
173,2020-04-12,4,jacobii,14807 B2,kauaiensis,24525-11 x 6 #4,jac 14807 B2 x kaua 24525-11 x6 #4,8,3,20,706,117,83,200,
174,2020-04-26,5,jacobii,14807 B2,kauaiensis,24525-11 x 6 #4,jac 14807 B2 x kaua 24525-11 x6 #4,6,4,20,764,119,81,200,
175,2020-05-08,7,jacobii,14807 B2,kauaiensis,24525-11 x 6 #4,jac 14807 B2 x kaua 24525-11 x6 #4,2,4,20,800,115,85,200,
176,2020-05-15,10,jacobii,14807 B2,nuttallii ,24525-11 x 6 #4,jac 14807 B2 x kaua 24525-11 x6 #4,11,6,20,825,111,89,200,
177,2020-01-04,4,kaalae ,169-16,verticillata,880-1,kaal 169-16 x vert 880-1,2,3,20,135,70,130,200,F1
178,2020-01-04,5,kaalae ,169-16,verticillata,880-1,kaal 169-16 x vert 880-1,4,5,20,136,11,9,20,F1
179,2020-01-20,1,kaalae ,169-16,verticillata,880-1 ,kaal 169-16 x vert 880-1,5,5,20,162,13,30,43,
180,2019-12-17,6,kaalae ,169-16,verticillata,880-1,kaal 169-16 x vert 880-1 ,12,1,,118,,,,no pollen- recollect JP total was 0
181,2019-12-19,1,kaalae ,169-16,verticillata,880-1,kaal 169-16 x vert 880-1 ,17,3,20,123,2,16,18,
182,2019-12-19,1,kaalae ,169-16,verticillata,880-1,kaal 169-16 x vert 880-1 ,1,2,20,127,97,103,200,F1 generation
183,2019-12-17,7,kaalae ,169-16,verticillata,880-A,kaal 169-16 x vert 880-A,8,2,20,119,15,185,200,
184,2019-12-19,2,kaalae ,169-16,verticillata,880-A,kaal 169-16 x vert 880-A,3,3,20,128,102,98,200,F1 generation
185,2019-12-19,3,kaalae ,169-16,verticillata,880-A,kaal 169-16 x vert 880-A,13,3,15,129,57,143,200,F1 gen 1 whorl? not sure what comment says
186,2020-01-04,2,kaalae ,169-16,verticillata,880-A,kaal 169-16 x vert 880-A ,16,4,20,133,59,141,200,F1
187,2020-01-04,3,kaalae ,169-16,verticillata,880-A,kaal 169-16 x vert 880-A ,10,5,20,134,51,149,200,F1
188,2020-02-24,4,kaalae ,3587-1,nuttallii ,903-12A,kaal 3587-1 x nutt 903-12A,14,3,20,373,174,26,200,
189,2020-03-06,6,kaalae,3587-1,nuttallii ,903 - 12A,kaal 3587-1 x nutt 903-12A,1,6,20,465,169,31,200,
190,2020-03-09,12,kaalae,3587-1,nuttallii ,903 12A,kaal 3587-1 x nutt 903-12A,11,5,20,484,172,28,200,
191,2020-03-09,13,kaalae,3587-1,nuttallii ,903 12A,kaal 3587-1 x nutt 903-12A,19,5,20,485,160,40,200,
192,2020-03-13,7,kaalae,3587-1,nuttallii ,903 12A,kaal 3587-1 x nutt 903-12A,4,7,20,514,174,26,200,
193,2020-01-12,3,kaalae ,3587-1,spergulina,120292-5,kaal 3587-1 x sperg 120292-5,8,4,20,155,136,64,200,
194,2020-01-20,5,kaalae ,3587-1,spergulina,120292-5 ,kaal 3587-1 x sperg 120292-5,3,5,20,166,160,40,200,
195,2020-02-02,11,kaalae ,3587-1,spergulina,120292-5,kaal 3587-1 x sperg 120292-5,4,3,20,223,153,47,200,
196,2020-02-02,12,kaalae ,3587-1,spergulina,120292-5,kaal 3587-1 x sperg 120292-5,2,3,20,224,153,47,200,
197,2020-02-02,13,kaalae ,3587-1,spergulina,120292-5,kaal 3587-1 x sperg 120292-5,5,5,20,225,136,63,199,
198,2020-01-11,1,kaalae ,3587-14,nuttallii ,903-12A,kaal 3587-14 x nutt 903-12A,8,6,20,145,190,10,200,F1
199,2020-01-11,2,kaalae ,3587-14,nuttallii ,903-12A,kaal 3587-14 x nutt 903-12A,7,6,20,146,184,16,200,F1
200,2020-01-23,1,kaalae ,3587-14,nuttallii ,903 12A,kaal 3587-14 x nutt 903-12A,10,4,20,167,190,10,200,
201,2020-02-04,9,kaalae ,3577-14,nuttallii ,903 12A,kaal 3587-14 x nutt 903-12A,2,5,20,234,158,42,200,
202,2020-02-06,4,kaalae ,3587-14,nuttallii ,903-12A,kaal 3587-14 x nutt 903-12A,1,3,20,251,175,25,200,
203,2020-01-12,1,kaalae ,3587-14,nuttallii ,903-12A,kaal 3587-14 x nutt 903-12A ,17,5,20,153,193,7,200,F1
204,2020-01-05,1,kaalae ,616317,kauaiensis ,24525-11,kaal 3587-6 x kaua 24525-11,1,5,20,141,171,29,200,F1
205,2020-01-12,4,kaalae ,616317,kauaiensis ,24525-11,kaal 3587-6 x kaua 24525-11,3,5,20,156,139,61,200,
206,2020-01-26,5,kaalae ,3587-6,kauaiensis ,24525-11,kaal 3587-6 x kaua 24525-11,7,4,20,175,26,174,200,
207,2020-01-28,1,kaalae ,3587-6,kauaiensis ,24525-11,kaal 3587-6 x kaua 24525-11,16,5,20,180,164,36,200,
208,2020-02-02,7,kaalae ,3587-6,kauaiensis ,24525-11,kaal 3587-6 x kaua 24525-11,17,4,20,219,141,59,200,
209,2020-07-19,3,kaalae,3587-6,kauaiensis,24525-11,kaal 3587-6 x kaua 24525-11,9,5,20,943,115,85,200,
210,2020-04-14,2,kaalae,3587A,kauaiensis,12074 3a,kaal 3587A x kaua 12074 3a,6,6,20,711,140,60,200,
211,2020-04-23,1,kaalae,3587A,kauaiensis,12074 3a,kaal 3587A x kaua 12074 3a,3,4,18,750,177,23,200,
212,2020-05-27,1,kaalae,3587A,kauaiensis,12074 3a,kaal 3587A x kaua 12074 3a,2,4,20,856,172,28,200,
213,2020-06-01,2,kaalae,3587A,kauaiensis,12074 3a,kaal 3587A x kaua 12074 3a,1,4,20,859,171,29,200,
214,2020-06-19,3,kaalae,3587A,kauaiensis,12074 3a,kaal 3587A x kaua 12074 3a,7,7,20,877,121,79,200,
215,2020-02-26,1,kaalae ,3587A,nuttallii ,903-12A,kaal 3587A x nutt 903 12A,5,7,20,389,178,22,200,
216,2020-03-03,4,kaalae,3587A,nuttallii ,903 12 A,kaal 3587A x nutt 903 12A,4,7,20,433,116,84,200,
217,2020-03-03,5,kaalae,3587A,nuttallii ,903 12 A,kaal 3587A x nutt 903 12A,1,3,20,434,193,7,200,
