line	date_planted	code	type	momsp	momid	dadsp1	dadid1	dadsp2	dadid2	plate	planted	germinated	date_scored	germinated_n1	transplanted_n	germinated_ndate1	germinated_ndate2	germinated_ndate3	germinated_ndate4	germinated_ndate5	germinated_ndate6	notes
51	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	1	20	17	2020-09-11	16	(15 (1c)	2 plants in pot		1 (10/9)	Discard			
52	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	2	20	16	2020-09-11	13 (mold)	11 (2c)	3 (9/22)	4 (9/22)	0 (10/8)	Discard			
53	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	3	20	17	2020-09-11	15 (mold)	14 (1c)	9 (9/22)	3 (9/22)	0 (10/9)	Discard			
54	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	4	20	18	2020-09-14	17	16	1 (10/8)	Discard					
55	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	5	20	16	2020-09-14	16	15	0 (10/9)	Discard					
56	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	6	20	17	2020-09-14	16	16	1 (10/9)	Discard					
57	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	7	20	20	2020-09-14	18	16 (2c)	2 plants in pot		1 (10/9)	1 (10/9)	Discard		
58	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	8	20	20	2020-09-14	19	16 (1c, 2k)	1 (10/9)	1 (10/9)	Discard				
59	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	9	20	18	2020-09-14	17	17	1 (10/9)	Discard					
60	2020-08-27	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	10	20	18	2020-09-14	17	17	1 (10/9)	Discard					
187	2020-09-25	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	11	20	17	2020-12-12	17	Discard							
188	2020-09-25	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	12	20	16	2020-12-12	16	Discard							
292	2020-10-23	SL2	mixed	sarm	896122-2	lydg	6682223-1	sarm	8961071-6	13	20	20	2021-01-30	21	Discard							
61	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	1	20	19	2020-09-15	16	13 (1c, 2k)	2 plants in pot		2 (10/9)	2 (10/9)	Discard		
62	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	2	20	20	2020-09-15	19	18 (1k)	1 (10/9)	1 (10/9)	Discard				
63	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	3	20	16	2020-09-15	14	14	2 (10/9)	Discard					
64	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	4	20	11	2020-09-15	14	11 (1c)	2 (10/20)	Discard					
65	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	5	20	20	2020-09-15	10	7 (3c)	1 (10/20)	Discard					
66	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	6	20	20	2020-09-16	18	12 (3c, 3k)	2 (10/16)	4 (10/16)	Discard				
67	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	7	20	16	2020-09-16	13	10 (1c)	3 (10/13)	6 (10/13)	Discard				
68	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	8	20	19	2020-09-16	14	12 (2c)	5 (10/9)	6 (10/9)	Discard				
69	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	9	20	18	2020-09-16	15	15	3 (10/13)	3 (10/13)	Discard				
70	2020-08-27	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	10	20	17	2020-09-17	17	14	0 (10/16)	Discard					
189	2020-09-25	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	11	20	18	2020-11-03	15	14	3 (12/12)	Discard					JP: changed momsp lydg>sarm, dadsp1 sarm>lydg, dadsp2 lydg>sarm
190	2020-09-25	SL3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	12	20	16	2020-12-12	16	Discard							JP: changed momsp lydg>sarm, dadsp1 sarm>lydg, dadsp2 lydg>sarm
293	2020-10-23	SL 3	mixed	sarm	896123-16	lydg	6682229-2	sarm	89611-6	13	20	19	2021-01-30	19	Discard							JP: changed momsp lydg>sarm, dadsp1 sarm>lydg, dadsp2 lydg>sarm
71	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	1	20	17	2020-09-17	5	5	9 (9/26)	9 (9/26)	3 (10/20)	Discard			
72	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	2	20	12	2020-09-17	7	6 (1c)	5 (9/26)	6 (9/26)	0 (10/8)	Discard			
73	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	3	20	12	2020-09-17	6	5 (1c)	0 (9/26)	1 (9/26)	6 (10/20)	Discard			
74	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	4	20	20	2020-09-17	8	7 (1c)	11 (9/26)	11 (9/26)	0 (10/8)	Discard			
75	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	5	20	13	2020-09-17	9	6 (3c)	2 plants in pot		3 (9/26)	6 (9/26)	0 (10/8)	Discard	
76	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	6	20	17	2020-09-17	7	6 (1c)	10 (10/20)	Discard					
77	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	7	20	19	2020-09-17	4	4	2 plants in pot		14 (9/26)	14 (9/26)	0 (10/9)	Discard	
78	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	8	20	20	2020-09-17	10	10	10 (9/26)	10 (9/26)	Discard				
79	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	9	20	17	2020-09-17	15	15	2 (10/20)	Discard					
80	2020-09-02	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	10	20	17	2020-09-17	16	13	0 (9/26)	3 (9/26)	1 (10/13)	1 (10/13)	Discard		
191	2020-09-25	LS4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	11	20	12	2020-12-12	12	Discard							
294	2020-10-23	LS 4	mixed	lydg	6682222-1	lydg	6682234-1	sarm	89617-5	12	20	11	2020-12-12	11	Discard							
81	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	1	20	9	2020-09-19	8	8	1 (10/16)	Discard					
82	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	2	20	14	2020-09-19	13	12 (1k)	1 (10/13)	1 (10/13)	Discard				
83	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	3	20	18	2020-09-19	15	11 (4c)	3 (10/20)	Discard					
84	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	4	20	17	2020-09-19	12	12	1 (9/28)	1 (9/28)	4 (10/20)	Discard			
85	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	5	20	10	2020-09-19	9	8 (1c)	1 (10/20)	Discard					
86	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	6	20	16	2020-09-19	10	9 (1c)	6 (9/28)	7 (9/28)	0 (10/8)	Discard			
87	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	7	20	15	2020-09-19	3	3	12 (9/28)	11 (9/28)	0 (10/16)	Discard			
88	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	8	20	15	2020-09-19	7	7	6 (9/28)	6 (9/28)	2 (10/20)	Discard			
89	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	9	20	15	2020-09-21	14	14	1 (10/15)	Discard					
90	2020-09-02	LS5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	10	20	19	2020-09-21	11	9 (2c)	8 (9/28)	10 (9/28)	0 (10/9)	Discard			
295	2020-10-23	LS 5	mixed	lydg	6682233-2	lydg	6682223-1	sarm	89611-6	11	20	15	2020-12-12	15	Discard							
91	2020-09-03	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	1	20	5	2020-09-21	4	1 (3c)	1 (10/13)	3 (10/13)	Discard				
92	2020-09-03	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	2	20	8	2020-09-21	8	5 (3c)	0 (10/13)	2 (10/13)	Discard				
93	2020-09-03	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	3	20	8	2020-09-21	8	6 (2c)	0 (10/13)	1 (10/13)	Discard				
94	2020-09-03	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	4	3	1	2020-09-21	1	0  (1c)	0 (10/13)	1 (10/13)	Discard				
95	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	1	20	18	2020-09-28	16	16	2 (10/20)	Discard					
96	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	2	20	15	2020-09-28	12	10 (2c)	3 (10/21)	5 (10/21)	Discard				
97	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	3	20	16	2020-09-30	10	9 (1c)	6 (10/20)	Discard					
98	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	4	20	14	2020-09-30	5	4 (1c)	9 (10/21)	10 (10/21)	Diacard				
99	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	5	20	10	2020-09-30	6	6	4 (10/21)	4 (10/21)	Diacard				
100	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	6	20	11	2020-10-02	11	10 (1c)	0 (10/20)	Discard					
101	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	7	20	11	2020-10-02	9	7 (2c)	2 (10/21)	4 (10/21)	Discard				
102	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	8	20	11	2020-10-06	10	7 (3c)	0 (10/21)	1 (10/21)	1 (11/11)	Discard			
103	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	9	20	11	2020-10-06	11	10 (1c)	0 (10/20)	Discard					
104	2020-09-14	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	10	20	13	2020-10-06	13	12 (1c)	0 (10/21)	1 (10/21)	Discard				
297	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	11	20	16	2020-11-14	16	15 (1c)	0 (12/1)	Discard					
298	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	12	20	18	2020-11-14	18	15	0 (12/1)	Discard					
299	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	13	20	18	2021-01-30	18	Discard							
300	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	14	20	18	2021-01-30	18	Discard							
301	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	15	20	19	2021-01-30	19	Discard							
302	2020-10-23	SL7	mixed	sarm	8968-2	lydg	6682209-2	sarm	89617-5	16	20	17	2021-01-30	17	Discard							
105	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	1	20	14	2020-09-28	5	4 (1c)	9 (11/3)	10 (11/3)	Discard				
106	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	2	20	16	2020-09-28	14	14	2 (11/3)	2 (11/3)	Discard				
107	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	3	20	17	2020-10-08	17	17	0 (10/15)	Discard					
108	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	4	20	14	2020-10-08	14	14	0 (10/15)	Discard					
109	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	5	20	15	2020-10-08	14	12 (2c)	1 (10/20)	Discard					
110	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	6	20	15	2020-10-08	14	14	1 (11/3)	1 (11/3)	Discard				
111	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	7	20	14	2020-10-08	14	14	0 (10/15)	Discard					
112	2020-09-14	SL8	mixed	sarm	896122-16	lydg	6682222-1	sarm	8961071-6	8	15	10	2020-10-08	8	8	2 (10/20)	Discard					
113	2020-09-14	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	1	20	16	2020-09-28	5	4 (1c)	6 (10/6)	6 (1c) 10/6	5 (10/13)	6 (10/13)	Discard		
114	2020-09-14	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	2	20	18	2020-09-28	12	3 (9c)	5 (10/6)	11 (10/6)	1 (10/13)	4 (10/13)	Discard		
115	2020-09-14	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	3	20	15	2020-09-29	6	5 (1c)	9 (10/13)	9 (10/13)	Discard				
116	2020-09-14	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	4	16	13	2020-10-13	13	13	Discard						
139	2020-09-19	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	11	20	17	2020-10-13	6	3 (3c)		Discard					JP:changed momsp lydg>hook
140	2020-09-19	HK8	mixed	hook	794-4	hook	794-2	kaal	892-1	12	20	5	2020-10-13	5	3 (2)	0 (12/18)	Discard					JP:changed momsp lydg>hook
141	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	1	20	8	2020-10-30	6	6	2 (11/14)	2 (11/14)	0 (12/1)	Discard			
142	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	2	20	9	2020-10-29	7	6 (1c)	0 (11/14)	1 (11/14)	2 (12/1)	2 (12/1)	Discard		
143	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	3	20	8	2020-10-30	7	7	1 (11/14)	1 (11/14)	0 (12/1)	Discard			
144	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	4	20	8	2020-10-30	6	5 (1c)	2 (11/14)	3 (11/14)	0 (12/1)	Discard			
145	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	5	20	10	2020-10-29	10	6	0 (11/14)	4 (11/14)	0 (12/1)	Discard			
146	2020-09-19	LS9	mixed	lydg	6682217-1	lydg	6682204-1	sarm	8961071-6	6	19	4	2020-11-14	4	4	0 (12/1)	Discard					
147	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	1	20	12	2020-10-14	9	4 (5c)	2 (10/20)	6 (10/20)	Discard	2 plants in pot			
148	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	2	20	9	2020-10-21	9	9	Discard						
149	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	3	20	15	2020-10-14	10	9 (1c)	5 (10/20)	5 (10/20)	Discard				
150	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	4	20	15	2020-10-14	12	7 (5c)	3 (10/20)	8 (10/20)	Discard				
151	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	5	20	15	2020-10-14	11	8 (3c)	4 (10/20)	7 (10/20)	Discard				
152	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	6	20	12	2020-10-21	12	12	Discard						
153	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	7	20	12	2020-10-14	7	4 (3c)	5 (10/20)	7 (10/20)	Discard				
154	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	8	20	14	2020-10-21	14	13 (1c)	Discard						
155	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	9	20	17	2020-10-14	12	9 (3c)	4 (10/20)	5 (10/20)	Discard	2 plants in pot			
156	2020-09-19	HK10	mixed	hook	879G-2	hook	87910-1	kaal	892-5	10	20	15	2020-10-14	15	6 (5c)	0 (10/20)	5 (10/20)	Discard				
157	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	1	20	19	2020-10-11	16	16	3 (12/1)	Discard					
158	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	2	20	18	2020-10-11	18	16		Discard					
159	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	3	20	15	2020-10-11	15	13 (2c)	0 (12/1)	Discard					
160	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	4	20	18	2020-10-11	15	14 (1c)	3 (12/1)	Discard					
161	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	5	20	20	2020-10-11	20	16		Discard					
162	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	6	20	16	2020-10-11	16	16		Discard					
163	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	7	20	18	2020-10-11	11	11	7 (12/1)	Discard					
164	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	8	20	20	2020-10-11	16	15	4 (12/1)	Discard					
165	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	9	20	16	2020-10-11	16	16		Discard					
166	2020-09-19	HK9	mixed	hook	8.99E+02	kaal	116-3	hook	866-2	10	20	17	2020-10-11	17	14		Discard					
167	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	1	20	10	2020-10-23	10	10	0 (12/1)	Discard					
168	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	2	20	11	2020-10-23	5	4 (1c)	6 (11/3)	6 (11/3)	0 (12/1)	Discard			
169	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	3	20	17	2020-10-23	16	16	1 (11/3)	1 (11/3)	Discard				
170	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	4	20	13	2020-11-03	12	12	1 (12/1)	1 (12/1)	Discard				
171	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	5	20	15	2020-10-23	15	15	0 (12/1)	Discard					
172	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	6	20	16	2020-10-29	15	15	1 (12/1)	1 (12/1)	Discard				
173	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	7	20	16	2020-10-29	16	16	0 (12/1)	Discard					
174	2020-09-25	LS10	mixed	lydg	6682212-1	lydg	6682209-2	sarm	8961071-6	8	2	2	2020-10-29	1	1	1 (12/1)	1 (12/1)	Discard				
175	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	1	20	19	2020-10-08	11	8 (3c)	8 (10/22)	11 (10/22)	0 (10/29)	Discard			
176	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	2	20	13	2020-10-08	12	11 (1c)	1 (11/3)	2 (11/3)	Discard				
177	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	3	20	19	2020-10-16	19	19	0 (10/29)	Discard					
178	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	4	20	17	2020-10-16	17	17	0 (10/29)	Discard					
179	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	5	20	12	2020-10-16	8	8	4 (11/3)	4 (11/3)	Discard				
180	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	6	20	19	2020-10-16	18	17 (1c)	1 (11/3)	2 (11/3)	Discard				
181	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	7	20	16	2020-10-22	16	16	0 (10/29)	Discard					
182	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	8	20	19	2020-10-22	19	19	0 (10/29)	Discard					
183	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	9	20	17	2020-10-14	17	17	0 (10/29)	Discard					
184	2020-09-25	LS6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	10	20	17	2020-10-14	16	16	1 (11/3)	1 (11/3)	Discard				
296	2020-10-23	LS 6	mixed	lydg	6682235-2	lydg	6682229-2	sarm	8962-1	11	20	18	2020-12-12	18	Discard							
192	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	1	20	16	2020-10-25	15	13 (2c)	1 (12/1)	Discard					
193	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	2	20	18	2020-10-25	16	14 (2c)	2 (12/1)	Discard					
194	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	3	20	17	2020-10-25	17	17	0 (12/1)	Discard					
195	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	4	20	17	2020-10-25	17	16 (1c)	0 (12/1)	Discard					
196	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	5	20	16	2020-10-25	15	15	2 plants in pot			0 (12/1)	Discard		
197	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	6	20	16	2020-10-25	16	15	0 (12/1)	Discard					
198	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	7	20	15	2020-10-27	13	12 (1c)	1 (12/1)	Discard					
199	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	8	20	17	2020-10-27	16	14 (2c)	1 (12/1)	Discard					
200	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	9	20	16	2020-10-27	14	14	2 (12/1)	Discard					
201	2020-09-29	HK11	mixed	hook	794-2	hook	866-2	kaal	115-2	10	20	15	2020-10-27	15	15	0 (12/1)	Discard					
202	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	1	20	20	2020-10-17	17	10	4 (12/18)	Discard					
203	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	2	20	19	2020-10-17	18	12	1 (12/18)	Discard					
204	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	3	20	19	2020-10-17	18	10	1 (12/18)	Discard					
205	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	4	20	19	2020-10-17	14	3	5 (11/9)	16 (11/9)	Discard				
206	2020-09-30	HK12	mixed	hook	866-2	hook	794-2	kaal	892-4	5	20	20	2020-10-17	20	16		Discard					
